ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q3656893,Capitalism and Schizophrenia,book serie by Gilles Deleuze and Felix Guattari,None,None,None,None,Capitalism
Q5449261,Filthy Lucre: Economics for People Who Hate Capitalism,book by Joseph Heath,None,None,None,None,Capitalism
Q28146570,Lieb Vaterland,Song by Udo Jürgens (1971),Lieb Vaterland magst ruhig sein,None,None,None,Capitalism
Q6584912,Category:Capitalism,Wikimedia category page,None,Category:资本主义,维基媒体项目分类,None,Capitalism
Q16851862,The Capitalist Manifesto,None,None,None,None,None,Capitalism
Q3394378,Carlos Taibo,Spanish writer and professor,None,None,None,None,Capitalism
Q5333564,Economics Does Not Lie,book by Guy Sorman,None,經濟不說謊：後金融危機的全球經濟總體檢,None,None,Capitalism
Q21034405,This Changes Everything,2015 documentary film by Avi Lewis,None,這改變一切：資本主義與氣候,None,None,Capitalism
Q4493554,Andrey Fursov,Soviet academic scholar,Andrei Ilich Fursov,None,None,None,Capitalism
Q21004502,Meltdown: The End of the Age of Greed,book by Paul Mason,None,None,None,None,Capitalism
Q3183163,History of capitalism,None,None,资本主义的历史,None,资本主义历史,Capitalism
Q5177025,Counterrevolution and Revolt,book by Herbert Marcuse,None,None,None,None,Capitalism
Q21829703,WikiProject Capitalism,Wikimedia subject-area collaboration,None,None,None,None,Capitalism
Q15991228,Capital in the Twenty-First Century,book by French economist Thomas Piketty,Capital in the 21st Century,二十一世纪资本论,皮克提2013年著作,21世紀資本論,Capitalism
Q18394194,This Changes Everything,book by Naomi Klein,None,None,None,None,Capitalism
Q22222919,Revolutions in Reverse,book by David Graeber,None,None,None,None,Capitalism
Q8034549,Work,anarchist polemic by the CrimethInc. ex-Workers' Collective,"Work: Capitalism, Economics, Resistance",None,None,None,Capitalism
Q548235,state capitalism,None,None,国家资本主义,None,None,Capitalism
Q42383037,Willing Slaves of Capital,None,None,None,None,None,Capitalism
Q1217079,They are Dying Out,literary work,None,None,None,None,Capitalism
Q11252928,modified capitalism,None,None,None,None,None,Capitalism
Q52742170,200 Jahre Karl Marx – wie sozial ist der Kapitalismus heute?,"episode of talk show Anne Will (May 6th, 2018) S11 E26",None,None,None,None,Capitalism
Q23893735,Museum of Capitalism,None,None,None,None,None,Capitalism
Q20899530,PostCapitalism: A Guide to our Future,book by Paul Mason,None,None,None,None,Capitalism
Q2510796,Varieties of Capitalism,book by David Soskice,None,None,None,None,Capitalism
Q16634981,slavery and capitalism,None,capitalism and slavery,None,None,None,Capitalism
Q2937458,Capitalism: The Unknown Ideal,book by Ayn Rand,None,None,None,None,Capitalism
Q10342340,Osvaldo Coggiola,None,None,None,None,None,Capitalism
Q48798707,The Hidden Wealth of Nations: The Scourge of Tax Havens,None,None,None,None,None,Capitalism
Q389647,anti-capitalism,political ideology,opposition to capitalism,反資本主義,None,None,Capitalism
Q641887,state monopoly capitalism,None,None,国家垄断资本主义,None,None,Capitalism
Q2937479,crony capitalism,None,None,裙帶資本主義,None,权贵资本主义,Capitalism
Q22205399,pink capitalism,capitalist appropriation and assimilation of sexual diversity,homocapitalism,粉色資本主義,None,彩虹資本主義,Capitalism
Q6452383,finance capitalism,None,financial capitalism,金融資本主義,None,None,Capitalism
Q1423189,late capitalism,None,None,None,None,None,Capitalism
Q2897924,Bernard Friot,French sociologist,None,None,None,None,Capitalism
Q22222897,Possibilities,book by David Graeber,None,None,None,None,Capitalism
Q218894,Pocahontas,1995 American animated epic musical romance-drama animated film produced by Walt Disney Feature Animation,None,风中奇缘,None,庄迈斯,Capitalism
Q58784,Das Kapital,book by Karl Marx,Capital: Critique of Political Economy,资本论,None,資本論,Capitalism
Q20800655,"Unspeakable Things: Sex, Lies and Revolution",book by Laurie Penny,None,None,None,None,Capitalism
Q1472057,merchant capitalism,None,early capitalism,None,None,None,Capitalism
Q171990,Laissez faire,Abstention by governments from interfering in the workings of the free market.,Laissez-faire Capitalism,自由放任,政府不干预经济活动,守夜人国家,Capitalism
Q192424,anarcho-capitalism,political philosophy and school of thought,None,無政府資本主義,None,無政府自由主義,Capitalism
Q7798044,Threepenny Novel,novel by Bertolt Brecht,None,None,None,None,Capitalism
Q58639390,"Cannons, castles, and capitalism: The invention of gunpowder and the rise of the west∗",None,None,None,None,None,Capitalism
Q6206,Capitalism,economic system based on private ownership of the means of production and the creation of goods or services for profit,None,资本主义,None,None,Capitalism
