ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q17132,Soong Ching-ling,"Sun Yat-Sen's wife, Honorary President of the People's Republic of China",Song Ch'ing-ling,宋庆龄,孙中山夫人，中华人民共和国名誉主席,宋慶齡,Communist_Party_of_China
Q284278,Yang Kaihui,wife of Mao Zedong,None,杨开慧,毛泽东之妻,楊開慧,Communist_Party_of_China
Q56033126,Hon Yongshi,former mayor of Fuzhou City,None,洪永世,None,None,Communist_Party_of_China
Q616567,Lei Zhengfu,Chinese politician,None,雷政富,None,None,Communist_Party_of_China
Q700513,Zhang Tailei,Chinese revolutionary,None,张太雷,None,張太雷,Communist_Party_of_China
Q1059846,Red Star Over China,1937 book by Edgar Snow,'' Red Star Over China '',西行漫记,斯诺1937年著作,紅星照耀中國,Communist_Party_of_China
Q935107,Yuan Chunqing,Chinese politician,Chunqing Yuan,袁纯清,None,袁純清,Communist_Party_of_China
Q708941,Xiao Ke,Chinese general,None,"簫克,",None,蕭克,Communist_Party_of_China
Q2913120,Zhang Xiaoming,Director of the Liaison Office of the Central Government in Hong Kong,None,张晓明,中央政府驻港联络办主任,None,Communist_Party_of_China
Q3373934,Qian Yunlu,Chinese politician,None,钱运录,None,錢運錄,Communist_Party_of_China
Q6665329,韦拔群,None,None,韦拔群,None,None,Communist_Party_of_China
Q4271313,Liu Peng,Chinese politician,None,刘鹏,None,劉鵬,Communist_Party_of_China
Q6232020,Wang Hongbin,Chinese politician,None,王宏斌,中華人民共和國政治家,None,Communist_Party_of_China
Q7928388,Zhao Pengfei,Chinese politician,None,赵鹏飞,None,None,Communist_Party_of_China
Q7928841,Zuo Quan,Chinese Army general,None,左权,None,None,Communist_Party_of_China
Q8060041,Yuan Tengfei,"history teacher in Beijing, China",None,袁腾飞,中国北京历史教师、作家,袁騰飛,Communist_Party_of_China
Q8315659,孙福,None,None,孙福,None,None,Communist_Party_of_China
Q8315697,宫永丰,None,None,宫永丰,None,None,Communist_Party_of_China
Q8316069,Li Zuocheng,Chinese general,None,李作成,None,None,Communist_Party_of_China
Q8316680,梁必业,None,None,梁必业,None,None,Communist_Party_of_China
Q8316806,王永宁,None,None,王永宁,None,None,Communist_Party_of_China
Q8316825,王厚卿,None,None,王厚卿,None,None,Communist_Party_of_China
Q8316885,王治民,None,None,王治民,None,None,Communist_Party_of_China
Q8317487,陈达植,None,None,陈达植,None,None,Communist_Party_of_China
Q8989718,刘其文,Chinese politician,None,刘其文,None,None,Communist_Party_of_China
Q9078572,于来山,Chinese politician,None,于来山,None,None,Communist_Party_of_China
Q9080589,杨光成,Chinese politician,None,杨光成,None,None,Communist_Party_of_China
Q9082673,Yang Baohua,Chinese politician,None,阳宝华,None,None,Communist_Party_of_China
Q9200357,郭大建,Chinese politician,None,郭大建,None,None,Communist_Party_of_China
Q8318364,崔田民,None,None,崔田民,None,None,Communist_Party_of_China
Q8318377,庄田 (中将),None,None,庄田 (中将),None,None,Communist_Party_of_China
Q8318448,张藩,None,None,张藩,None,None,Communist_Party_of_China
Q8318735,He Cheng,None,None,贺诚 (中将),None,None,Communist_Party_of_China
Q8318825,Liu Zhuoming,None,None,刘卓明,None,None,Communist_Party_of_China
Q8319124,徐世平,None,None,徐世平,None,None,Communist_Party_of_China
Q8320218,武长友,None,None,武长友,None,None,Communist_Party_of_China
Q8320708,高守维,None,None,高守维,None,None,Communist_Party_of_China
Q8324611,廖鼎祥,None,None,廖鼎祥,None,None,Communist_Party_of_China
Q8287788,陈此生,Chinese politician,None,陈此生,None,None,Communist_Party_of_China
Q8288645,李启新,politician,None,李启新,None,None,Communist_Party_of_China
Q8289033,Mo Kwan-nin,Hong Kong politician,None,毛鈞年,None,None,Communist_Party_of_China
Q8289539,Raymond Wong,politician,None,黃作梅,None,None,Communist_Party_of_China
Q8290081,Yu Guangzhou,Chinese politician,None,于广洲,None,None,Communist_Party_of_China
Q8290364,何孟雄,politician,None,何孟雄,None,None,Communist_Party_of_China
Q8290589,常乾坤,None,None,常乾坤,None,None,Communist_Party_of_China
Q8290696,徐林侠,None,None,徐林侠,None,None,Communist_Party_of_China
Q8290911,胡德华,None,None,胡德华,None,None,Communist_Party_of_China
Q8290973,蒋耀平,None,None,蒋耀平,None,None,Communist_Party_of_China
Q8291030,陳忠經,politician,None,陳忠經,None,None,Communist_Party_of_China
Q8291040,陳禮節,politician,None,陳禮節,None,None,Communist_Party_of_China
Q8291357,Fang Weizhong,None,None,房维中,None,None,Communist_Party_of_China
Q8325961,朱火华,None,None,朱火华,None,None,Communist_Party_of_China
Q8326657,李资平,None,None,李资平,None,None,Communist_Party_of_China
Q8327050,欧阳平,None,None,欧阳平,None,None,Communist_Party_of_China
Q8327286,潘寿才,None,None,潘寿才,None,None,Communist_Party_of_China
Q8327597,王效明,None,None,王效明,None,None,Communist_Party_of_China
Q8328906,袁光,None,None,袁光,None,None,Communist_Party_of_China
