ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q82360,Robert Armstrong,American actor,None,None,None,None,Crime
Q310229,perjury,intentional act of swearing a false oath or of falsifying an affirmation to tell the truth,forswearing,偽證罪,None,宣誓後給予假證供,Crime
Q37657301,Category:October 2014 crimes,Wikimedia category,None,None,维基媒体分类,None,Crime
Q8427497,Category:Crime in Morocco,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q8427589,Category:Crime in Singapore,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q6911318,Category:Crime in Iraq,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q6396026,Category:Crime in Trinidad and Tobago,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q13562077,The Drop,2014 film by Michaël R. Roskam,Drop,錢藏凶機,None,None,Crime
Q3686324,mafia complicity,complicity in mafia crimes,None,None,None,None,Crime
Q7654058,swatting,the act of hoaxing an armed emergency response to a victim's home,None,None,None,None,Crime
Q1975478,abuse of power,"commission of an unlawful act in an official capacity, which affects the performance of official duties",None,濫權,None,None,Crime
Q5172452,corporate crime,crimes committed either by a corporation or its representatives,None,企業貪腐,None,None,Crime
Q8989733,Category:Crime in France,Wikimedia category,None,Category:法国罪案,维基媒体项目分类,None,Crime
Q8427371,Category:Crime in England,Wikimedia category,None,Category:英格兰罪案,维基媒体项目分类,None,Crime
Q8427620,Category:Crime in Tennessee,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q29142,attempt,occurs if a criminal has an intent to commit a crime and takes a substantial step toward completing the crime,attempt to commit a crime,未遂犯,None,None,Crime
Q27149893,Category:May 2015 crimes,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q29639124,Zelyonka attack,None,None,None,None,None,Crime
Q13258647,Category:Crime in the Bahamas,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q15056789,revenge porn,None,revenge pornography,公開對方的色情影像（如裸照）,None,None,Crime
Q27031407,2016 Budapest explosion,None,None,None,None,None,Crime
Q1040751,Methods of coin debasement,None,None,None,None,None,Crime
Q26251210,Category:August 2016 crimes,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q27149887,Category:April 2015 crimes,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q29871236,Category:May 2017 crimes,Wikimedia category,None,None,维基媒体分类,None,Crime
