ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q208971,1Q84,novel by Haruki Murakami,None,1Q84,None,None,Cult
Q7722019,The Challenge of the Cults and New Religions,book by Ron Rhodes,None,None,None,None,Cult
Q16952829,Misunderstanding Cults,book by Benjamin Zablocki,None,None,None,None,Cult
Q43373553,cult leader,None,None,None,None,None,Cult
Q5193173,"Cults: Faith, Healing and Coercion",book by Marc Galanter,None,None,None,None,Cult
Q5193177,Cults in Our Midst,book by Margaret Singer,None,None,None,None,Cult
Q4728763,All Gods Children,None,None,None,None,None,Cult
Q7776365,The Wrong Way Home: Uncovering the Patterns of Cult Behavior in American Society,book by Arthur J. Deikman,None,None,None,None,Cult
Q4949976,Bounded Choice,book by Janja Lalich,None,None,None,None,Cult
Q12605913,Aleph,spin-off of Japanese sect Aum Shinrikyo,None,None,None,None,Cult
Q7303010,Recovery from Cults,book by Michael Langone,None,None,None,None,Cult
Q6151340,Category:Cults,Wikimedia category page,None,Category:邪教,维基媒体项目分类,None,Cult
Q2381957,Süleymancılar,None,Süleyman Hilmi Tunahan anhänger,None,None,None,Cult
Q5036928,"Captive Hearts, Captive Minds",book by Janja Lalich,None,None,None,None,Cult
Q7445412,Seductive Poison,None,None,None,None,None,Cult
Q7091339,On the Edge: Political Cults Right and Left,book by Tim Wohlforth,None,None,None,None,Cult
Q5245613,Deadly Cults,None,None,None,None,None,Cult
Q549628,Skoptsy,"Christian movement in Russia; practiced castration and mastectomy; arose in the late 18th century; peaked in the early 20th century, with up to 100000 members despite governmental persecution; faded into obscurity by the mid-20th century",Scoptsy,None,None,None,Cult
Q5193178,Cults of Unreason,book by Christopher Evans,None,None,None,None,Cult
Q5150743,Combatting Cult Mind Control,book by Steven Hassan,None,None,None,None,Cult
Q6544690,Life 102,book by Peter McWilliams,None,None,None,None,Cult
Q4266193,Snapping: America's Epidemic of Sudden Personality Change,book by Flo Conway,None,None,None,None,Cult
Q23758233,Doomsday cult,None,None,末日邪教組織,None,None,Cult
Q7296389,Raven,non-fiction book about Jim Jones and the Peoples Temple,Raven: The Untold Story of the Rev. Jim Jones and His People,None,None,None,Cult
Q11038979,cult,"social group with socially deviant or novel religious, philosophical or spiritual beliefs and practices",None,邪教,None,None,Cult
