ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q8348813,侯水盛,None,None,侯水盛,None,None,Democratic_Progressive_Party
Q8349640,劉俊秀,None,None,劉俊秀,None,None,Democratic_Progressive_Party
Q8349807,林忠正,None,None,林忠正,None,None,Democratic_Progressive_Party
Q8349879,Lin Yun-sheng,None,None,林耘生,None,None,Democratic_Progressive_Party
Q8350279,Tsai Chi-chang,politician,None,蔡其昌,None,None,Democratic_Progressive_Party
Q8350293,Michael Tsai,Taiwanese politician,None,蔡明憲,None,None,Democratic_Progressive_Party
Q8038942,Wu Nai-ren,Tawainese Politician,Wu Nairen,吳乃仁,台湾政治人物,吴乃仁,Democratic_Progressive_Party
Q8347529,Lin Chih-chien,Taiwanese politician,Lin Zhijian,林智堅,台湾政治人物,林智坚,Democratic_Progressive_Party
Q8349002,許嘉恬,None,None,許嘉恬,None,None,Democratic_Progressive_Party
Q8349398,莊和子,None,None,莊和子,None,None,Democratic_Progressive_Party
Q8349585,林一方,None,None,林一方,None,None,Democratic_Progressive_Party
Q8350030,Icyang Parod,Taiwanese Amis politician,Liu Wen-hsiung,夷將·拔路兒,None,夷將拔路兒,Democratic_Progressive_Party
Q8350045,Peng Wan-ru,Taiwanese politician,None,彭婉如,None,None,Democratic_Progressive_Party
Q8350671,Yin Ling- ying,None,None,尹伶瑛,None,None,Democratic_Progressive_Party
Q8350707,You Yinglong,Taiwanese political scientist,Michael You,游盈隆,台湾政治学者,None,Democratic_Progressive_Party
Q22773998,Karen Yu,Taiwanese politician,None,余宛如,None,None,Democratic_Progressive_Party
Q551904,Su Tseng-chang,Taiwanese politician,Su Zhenchang,蘇貞昌,台湾政治人物,電火球,Democratic_Progressive_Party
Q8272187,Chiu Chuang-liang,None,None,邱創良,None,None,Democratic_Progressive_Party
Q8272698,傅正,None,None,傅正,None,None,Democratic_Progressive_Party
Q8347900,陳忠信,None,None,陳忠信,None,None,Democratic_Progressive_Party
Q8348203,Tu Wen-ching,Taiwanese politician,杜文卿,杜文卿,None,None,Democratic_Progressive_Party
Q8350435,Wu Yi-chen,politician,None,吳宜臻,None,None,Democratic_Progressive_Party
Q8350445,吳富貴,None,None,吳富貴,None,None,Democratic_Progressive_Party
Q8350543,Wang Jung-chang,Taiwanese politician,Wang Rongzhang,王榮璋,None,None,Democratic_Progressive_Party
Q8350893,Liao Pen-yen,politician,"Liao, Pen-Yen",廖本煙,None,None,Democratic_Progressive_Party
Q8351731,Peng Pai-hsien,Taiwanese politician,None,彭百顯,None,None,Democratic_Progressive_Party
Q8272571,Chiou Lien-hui,None,None,邱連輝,None,None,Democratic_Progressive_Party
Q8347378,Chou Ya-shu,None,None,周雅淑,None,None,Democratic_Progressive_Party
Q8347775,Chiu Yi-ying,Taiwanese politician,Qiu Yiying,邱議瑩,台湾政治人物,邱议莹,Democratic_Progressive_Party
Q8349626,李倩萍,politician,None,李倩萍,None,李倩萍,Democratic_Progressive_Party
Q8350712,游祥耀,politician,None,游祥耀,None,None,Democratic_Progressive_Party
Q8351130,鍾年晃,None,None,鍾年晃,None,None,Democratic_Progressive_Party
