ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q18711607,Abdullah Mansour,None,None,None,None,None,Islam
Q889,Afghanistan,republic in South Asia,Islamic Republic of Afghanistan,阿富汗,亚洲国家,None,Islam
Q820842,Great Mosque of Xi'an,mosque in China,None,西安大清真寺,None,西安清真寺,Islam
Q4695488,Ahmad Tourson,Chinese Guantanamo detainee,None,None,None,None,Islam
Q6932396,Muhammad Amin Bughra,Chinese politician,None,穆罕默德·伊敏,None,伊敏,Islam
Q15547365,Najiaying Mosque,mosque in China,None,纳家营清真寺,None,None,Islam
Q483047,Uzbeks,ethnic group,None,乌兹别克族,None,乌孜别克族,Islam
Q5679582,Hassan Anvar,Uyghur refugee:wrongly imprisoned in US,None,None,None,None,Islam
Q2821416,Abdul Haq,Uyghur activist,None,买买提明·买买提,None,None,Islam
Q6084862,Ismail Semed,Chinese activist,None,None,None,None,Islam
Q3078526,Yulbars Khan,National Revolutionary general,None,尧乐博斯,None,堯樂博斯,Islam
Q4670088,Abu Bakker Qassim,Chinese guantanamo detainee,None,None,None,None,Islam
Q183573,Hui people,ethnic group in China,None,回族,中国少数民族,回民,Islam
Q7967767,Wang Zhengyi,Chinese martial artist,None,王正谊,None,大刀王五,Islam
Q9011484,馬豪輝,None,None,馬豪輝,None,None,Islam
Q851,Saudi Arabia,country in Asia,The Kingdom of Saudi Arabia,沙特阿拉伯,位于阿拉伯半岛的国家,沙烏地,Islam
Q715079,Ma Hongbin,Chinese politician,None,马鸿宾,None,馬鴻賓,Islam
Q5646713,Han Youwen,Chinese general,None,韩有文,None,None,Islam
Q3091905,Dongguan Mosque,mosque in China,None,西宁东关清真寺,None,东关清真寺,Islam
Q3575357,Zhang Hongtu,Chinese artist,None,None,None,None,Islam
Q4833222,Huseyincan Celil,Chinese Imam,None,侯赛因江,None,玉山江,Islam
Q6720710,Ma Chengxiang,Republic of China warlord,None,马呈祥,None,None,Islam
Q6720869,Ma Yue,martial artist,None,None,None,None,Islam
Q81259,Tohti Tunyaz,Chinese historian,None,吐赫提·土亚兹,None,None,Islam
Q5703424,Helen Wu,Wushu practitioner,None,None,None,None,Islam
Q5337971,Edham Mamet,Chinese Guantanamo detainee,None,None,None,None,Islam
Q6539261,Li Yong,Chinese television host,None,李咏,中国电视主持人,李詠,Islam
Q4778065,Anwar Yusuf Turani,Uyghur nationalist,None,None,None,None,Islam
Q1325825,Id Kah Mosque,mosque in China,None,艾提尕尔清真寺,None,艾提尕爾清真寺,Islam
Q16848781,Islamic Cultural Association,A religious organization in Hong Kong,ICA,香港伊斯蘭文化協會,None,None,Islam
Q44051991,Yerjet Yerzat,association football player,None,None,None,None,Islam
Q701786,Wang Zi-Ping,Chinese martial artist,None,王子平,None,None,Islam
Q7967493,Wang Ju-Rong,None,None,None,None,None,Islam
Q699149,Zhang Chengzhi,Chinese writer,None,张承志,中国作家,張承志,Islam
Q603256,Niujie Mosque,A mosque in Beijing,None,牛街礼拜寺,None,None,Islam
Q6826988,Mi Haolun,Footballer,None,糜昊伦,None,None,Islam
Q6720844,Ma Xianda,Chinese martial artist,None,馬賢達,中國武術家,马贤达,Islam
Q1894882,Ilham Tohti,Chinese economist and activist,None,伊力哈木·土赫提,None,None,Islam
Q9012145,Ma Ruifang,Chinese writer,None,马瑞芳,None,None,Islam
Q5581732,Gongbei,Hui minority islam shrine in China,None,拱北 (伊斯兰教),None,None,Islam
Q715070,Ma Hongkui,Republic of China general,None,馬鴻逵,None,馬少雲,Islam
Q4791999,Arkin Mahmud,Chinese Guantanamo detainee,None,None,None,None,Islam
Q712083,JJ Jia,Chinese actress-model,JJ Jade Jia Xiao Chen,賈曉晨,None,None,Islam
Q6399720,Khalil Mamut,chinese Guantanamo detainee,None,None,None,None,Islam
Q6720748,Ma Jiyuan,Chinese warlord,None,馬繼援,None,None,Islam
Q4681535,Adel Abdulhehim,Guantanamo detainee,None,None,None,None,Islam
Q298133,Rebiya Kadeer,Uyghur politician,None,热比娅·卡德尔,None,熱比婭·卡德爾,Islam
Q5924751,Hu Songshan,Chinese Nationalist Imam of the Yihewani sect,None,虎嵩山,None,None,Islam
Q3272963,Saifuddin Azizi,First chairman of Xinjiang Uyghur Autonomous Region,None,赛福鼎·艾则孜,None,賽福鼎·艾則孜,Islam
Q255182,Bai Shouyi,Chinese historian,None,白寿彝,中国历史学家,白壽彝,Islam
Q26270069,Zeydin Yusup,None,None,None,None,None,Islam
Q704545,Zhang Linpeng,Chinese footballer,None,张琳芃,None,None,Islam
Q24055157,Faheem Khan,squash player,Abdul Faheem Khan,None,None,None,Islam
Q4665906,Abdullah Abdulqadirakhun,Chinese Guantanamo bay detainee,None,None,None,None,Islam
Q16239646,Id Mirab,Chinese politician,None,埃德·米拉布,None,None,Islam
Q432,Islam,monotheistic religion founded by Muhammad and based on the teachings of the Quran,al-’islām,伊斯兰教,世界三大宗教之一,None,Islam
