ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q37095637,Zhou Yanming,Chinese revolutionary,None,周演明,None,None,Kuomintang
Q17132,Soong Ching-ling,"Sun Yat-Sen's wife, Honorary President of the People's Republic of China",Song Ch'ing-ling,宋庆龄,孙中山夫人，中华人民共和国名誉主席,宋慶齡,Kuomintang
Q866951,Eugene Chien,Taiwanese politician,None,簡又新,None,None,Kuomintang
Q3270698,Zou Rong,Chinese writer,Zou Guiwen,鄒容,None,邹容,Kuomintang
Q6720748,Ma Jiyuan,Chinese warlord,None,馬繼援,None,None,Kuomintang
Q4164342,Sun Mei,None,None,孫眉,孫中山之兄長,None,Kuomintang
Q4195955,Soong Tse-an,Chinese businessman,None,宋子安,中国企业家，宋嘉澍之子,None,Kuomintang
Q30337201,Lin Hsiang-nung,None,None,林享能,None,None,Kuomintang
Q8270435,林奕華 (台灣),None,None,林奕華 (台灣),None,None,Kuomintang
Q8272384,傅學鵬,None,None,傅學鵬,None,None,Kuomintang
Q8272388,Fei Hsi-ping,None,None,費希平,None,None,Kuomintang
Q8272590,沈智慧,None,None,沈智慧,None,None,Kuomintang
Q8273067,Chen Hsiu-ching,Taiwanese politician,None,陳秀卿,None,None,Kuomintang
Q8273216,陳振雄,None,None,陳振雄,None,None,Kuomintang
Q8273254,陳麗惠,None,None,陳麗惠,None,None,Kuomintang
Q8273397,葛雨琴,politician,None,葛雨琴,None,None,Kuomintang
Q8273523,賀衷寒,None,None,賀衷寒,None,None,Kuomintang
Q8273574,黃世英,None,None,黃世英,None,None,Kuomintang
Q8273598,黃季陸,politician,None,黃季陸,None,None,Kuomintang
Q8273615,Huang Teh-fu,None,None,黃德福 (台灣),None,None,Kuomintang
Q8274108,黃柏霖,politician,None,黃柏霖,None,黃柏霖,Kuomintang
Q8982531,李雅景,None,None,李雅景,None,None,Kuomintang
Q8275056,李東輝 (台灣),None,None,李東輝 (台灣),None,None,Kuomintang
Q8275097,李鳴皋,None,None,李鳴皋,None,None,Kuomintang
Q8275280,Lin Yuan-lang,Taiwanese politician,None,林源朗,None,None,Kuomintang
Q8275501,毛梦漪,None,None,毛梦漪,None,None,Kuomintang
Q8275653,钮永建,None,None,钮永建,None,None,Kuomintang
Q8276415,Sun Tse-ping,son of Sun Fo,Sun Chih-ping,孫治平,None,None,Kuomintang
Q8277078,王东原,None,None,王东原,None,None,Kuomintang
Q8277085,王之,None,None,王之,None,None,Kuomintang
Q8277088,王伯群,None,None,王伯群,None,None,Kuomintang
Q8278151,Hsiao Teng-tzang,None,None,蕭天讚,None,None,Kuomintang
Q8278637,Yuan Liang,None,None,袁良,None,None,Kuomintang
Q8278638,岳维峻,None,None,岳维峻,None,None,Kuomintang
Q8279260,張燦堂,None,None,張燦堂,None,None,Kuomintang
Q8279539,林進春,None,None,林進春,None,None,Kuomintang
Q8280338,王翼民,None,None,王翼民,None,None,Kuomintang
Q5506857,Fu Sinian,Chinese linguist,meng zhen,傅斯年,None,"傅思年,",Kuomintang
Q5932045,Liu Jianxu,Chinese general,None,劉建緒,None,None,Kuomintang
Q5114938,Wang Shijie,politician of the Republic of China,None,王世杰,中华民国政治人物,王雪艇,Kuomintang
Q5970796,Zhou Xuechang,Chinese politician,None,周学昌,None,None,Kuomintang
Q9332288,Fan Chiang Tai-chi,Taiwanese politician,None,范姜泰基,None,None,Kuomintang
Q9352588,Chiou Shu-ti,None,None,邱淑媞,None,None,Kuomintang
Q11664093,韓駿傑,None,None,韓駿傑,None,None,Kuomintang
Q16905422,Li Gui-min,Taiwanese female legislator and lawyer,Li Guimin,李貴敏,None,None,Kuomintang
Q16908359,黃敬平,politician,None,黃敬平,None,黃敬平,Kuomintang
Q18118200,趙衍慶,None,None,趙衍慶,None,None,Kuomintang
Q22099723,張振國,None,None,張振國,None,None,Kuomintang
Q15903204,Ma Xulun,None,None,马叙伦,None,None,Kuomintang
Q15907745,唐茂昊,None,None,唐茂昊,None,None,Kuomintang
Q15907933,沈友梅,None,None,沈友梅,None,None,Kuomintang
Q15931826,詹滿容,None,None,詹滿容,None,None,Kuomintang
Q21449501,蕭敬嚴,None,None,蕭敬嚴,None,None,Kuomintang
Q9352999,Shao En-hsin,None,None,邵恩新,None,None,Kuomintang
Q15913732,Wang Chien-chin,None,None,王建今,None,None,Kuomintang
Q15944935,關景良,politician,None,關景良,None,None,Kuomintang
Q16076631,廖榮祺,None,None,廖榮祺,None,None,Kuomintang
Q15951033,王家鴻,None,None,王家鴻,None,None,Kuomintang
Q10931937,夏威,None,None,夏威,None,None,Kuomintang
Q11573141,王樹翰,None,None,王樹翰,None,None,Kuomintang
Q10886045,He Qigong,None,None,何其巩,None,None,Kuomintang
Q14866531,Luo Ying-shay,Taiwanese politician,None,羅瑩雪,None,None,Kuomintang
Q18653937,林憶如,None,None,林憶如,None,None,Kuomintang
Q18654608,王正德,None,None,王正德,None,None,Kuomintang
Q19825563,宋心濂,None,None,宋心濂,None,None,Kuomintang
Q261469,Zhou Huaren,Chinese politician,None,周化人,None,None,Kuomintang
Q335219,Yen Chia-kan,former President of the Republic of China (Taiwan),Chia-Kan Yen,嚴家淦,中華民國政治人物、故總統,严家淦,Kuomintang
Q698360,Li Shouxin,Chinese politician,None,李守信,None,None,Kuomintang
Q699357,Cheng Qian,Chinese politician,None,程潛,None,程潜,Kuomintang
Q699442,Du Yuesheng,Chinese mob boss,None,"杜月笙,",None,杜鏞,Kuomintang
Q717501,Fu Zuoyi,Chinese politician,Fu Yisheng,傅作义,中国政治人物,傅宜生,Kuomintang
Q8275726,Peng Yunyi,None,None,彭允彝,None,None,Kuomintang
Q8275815,钱其琛 (国民党),None,None,钱其琛 (国民党),None,None,Kuomintang
Q8276023,阮剛猛,None,None,阮剛猛,None,None,Kuomintang
Q8276552,徐少萍,politician,None,徐少萍,None,None,Kuomintang
Q8276967,王文翰,None,None,王文翰,None,None,Kuomintang
Q8277006,王昱婷,None,None,王昱婷,None,None,Kuomintang
Q8277780,Milton Shieh,None,Milton J. T. Hsieh,謝然之,None,None,Kuomintang
Q8278376,艾靉,None,None,艾靉,None,None,Kuomintang
Q8278975,Clement Chang,None,None,張建邦,None,None,Kuomintang
Q8279267,張瑞妍,None,None,張瑞妍,None,None,Kuomintang
Q8279520,林仲毅,None,None,林仲毅,None,None,Kuomintang
Q8263877,白蓮貞,None,None,白蓮貞,None,None,Kuomintang
Q8270075,Lian Zhendong,Taiwanese politician,Lien Chen-tung,連震東,台湾政治人物,None,Kuomintang
Q8272455,黃輝珍,None,None,黃輝珍,None,None,Kuomintang
Q8272479,Ko Chun-hsiung,Taiwanese actor,Ke Junxiong,柯俊雄,台湾演员,None,Kuomintang
Q8273268,Ding Weifen,Chinese politician,None,丁惟汾,None,None,Kuomintang
Q8273308,方楚囚,None,None,方楚囚,None,None,Kuomintang
Q8273342,甘乃光,None,None,甘乃光,None,None,Kuomintang
Q8273395,古胡玉美,None,None,古胡玉美,None,None,Kuomintang
Q8273958,侯彩鳳,None,None,侯彩鳳,None,None,Kuomintang
Q8274129,项定荣,None,None,项定荣,None,None,Kuomintang
Q6720723,Ma Dunjing,Chinese general,None,馬敦靖,None,馬悙靖,Kuomintang
Q6395086,Kesingge,Inner Mongolian politician,None,克興額,None,None,Kuomintang
Q6544158,Lien Fang Yu,wife of Lien Chan,Fang Yu,連方瑀,连战之妻,方瑀,Kuomintang
Q274363,Chiang Fang-liang,wife of Chiang Ching-kuo,Jiang Fangliang,蒋方良,None,None,Kuomintang
Q9118836,Wu Shizheng,Taiwanese politician,None,吳世正,台湾政治人物,吴世正,Kuomintang
Q8295189,Pingshan Tan,politician,None,谭平山,None,"譚平山,",Kuomintang
Q8271208,Chiang Yen-shih,politician,Jiang Yanshi,蔣彥士,None,None,Kuomintang
Q8272181,陳振輝,None,None,陳振輝,None,None,Kuomintang
Q8273076,Chen Chao-min,Taiwanese politician,None,陳肇敏,None,None,Kuomintang
Q8273109,張帝,None,None,張帝,None,None,Kuomintang
Q8273240,陳璽安,None,None,陳璽安,None,None,Kuomintang
Q8273359,葛敬恩,None,None,葛敬恩,None,None,Kuomintang
Q8273639,黃朝琴,None,None,黃朝琴,None,None,Kuomintang
Q8273734,Fang Hien-chee,None,Fang Xianqi,方賢齊,None,None,Kuomintang
Q8273980,洪宣治,None,None,洪宣治,None,None,Kuomintang
Q8274613,Li Hanjun,None,None,李汉俊,None,None,Kuomintang
Q8274739,劉健群,None,None,劉健群,None,None,Kuomintang
Q8274946,廖正井,politician,None,廖正井,None,None,Kuomintang
Q8275336,林聯輝,politician,None,林聯輝,None,None,Kuomintang
Q8275440,Lu Chia-chen,politician,None,盧嘉辰,None,None,Kuomintang
Q8275641,甯恩承,None,None,甯恩承,None,None,Kuomintang
Q8276373,宋时选,None,None,宋时选,None,None,Kuomintang
Q8277493,Wu Cherng-dean,Taiwanese politician,None,吳成典,None,None,Kuomintang
Q8278695,喻英奇,None,None,喻英奇,None,None,Kuomintang
Q8279047,Zha Liangjian,Chinese politician,None,查良鑑,None,None,Kuomintang
Q8279200,周駿彥,None,None,周駿彥,None,None,Kuomintang
Q8279603,Johnny Chiang,Taiwanese politician,None,江啟臣,None,None,Kuomintang
Q8279801,赵光宸,None,None,赵光宸,None,None,Kuomintang
Q8279858,Ma Wen-chun,Taiwanese politician,Ma Wenjun,馬文君,台湾政治人物,马文君,Kuomintang
Q8280266,林仙保,None,None,林仙保,None,None,Kuomintang
Q8280305,林坤鐘,None,None,林坤鐘,None,None,Kuomintang
Q8280416,Pan Shih-wei,Taiwanese politician,None,潘世偉,None,None,Kuomintang
Q11064279,廖元豪,None,None,廖元豪,None,None,Kuomintang
Q15955832,Chen Mingyi (Taiwan）,Taiwanese politician,None,陳明義 (台灣),None,None,Kuomintang
Q15984097,Yu Hua,Chinese jurist,Yu Hua,None,None,None,Kuomintang
Q27150807,魏嘉賢,politician,None,魏嘉賢,None,None,Kuomintang
Q20062437,莊啟旺,None,None,莊啟旺,None,None,Kuomintang
Q22099729,林易煌,politician,None,林易煌,None,None,Kuomintang
Q46064390,王隽英,None,None,王隽英,None,None,Kuomintang
Q702111,Charlie Soong,Chinese missionary,Soong Yao-ju,宋嘉澍,中国传教士,宋耀如,Kuomintang
Q707601,Wang Jin-pyng,Taiwanese politician,Wang Jinping,王金平,台灣政治人物，曾任中華民國立法院院長,None,Kuomintang
Q708390,Wang Yaowu,Chinese general,None,王耀武,None,None,Kuomintang
Q708883,Chen Jitang,chinese politician,None,陳濟棠,None,陈济棠,Kuomintang
Q715454,Quo Tai-chi,Republic Of China diplomat,None,郭泰祺,None,None,Kuomintang
Q1588568,Gao Shuxun,Chinese general,None,高树勋,None,None,Kuomintang
Q1062482,Chao Yao-dong,Taiwanese politician,None,趙耀東,None,None,Kuomintang
Q701196,Zhu Shaoliang,Chinese general,None,朱紹良,None,None,Kuomintang
Q699254,Sun Lianzhong,Chinese general,None,孫連仲,None,孙连仲,Kuomintang
Q708113,Sun Dianying,Chinese general,None,孫殿英,None,孙殿英,Kuomintang
Q710050,Wan Fulin,Army General,None,"万福麟,",None,None,Kuomintang
Q8264005,烏靜彬,None,None,烏靜彬,None,None,Kuomintang
Q8264089,曾醒,None,None,曾醒,None,None,Kuomintang
Q8270143,陶希圣,None,None,陶希圣,None,None,Kuomintang
Q8273212,陳恩賜,None,None,陳恩賜,None,None,Kuomintang
Q8273219,陳杰 (政治人物),None,None,陳杰 (政治人物),None,None,Kuomintang
Q8273283,Tuan Mau-lan,None,None,段茂澜,None,None,Kuomintang
Q8273780,黃正一,None,None,黃正一,None,None,Kuomintang
Q8273871,黃聯富,None,None,黃聯富,None,None,Kuomintang
Q8274104,Justin Huang,Taiwanese politician,None,黃健庭,None,None,Kuomintang
