ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q8318691,Nie Heting,Chinese politician,None,聂鹤亭,None,None,Politician
Q8248710,Ulan,Chinese politician,None,乌兰,None,None,Politician
Q8289023,Luo Qingchang,Chinese politician,Qingchang Luo,罗青长,中国政治人物,羅青長,Politician
Q8289678,Wang Guangtao,Chinese politician,None,汪光焘,None,None,Politician
Q8290254,张承先,Chinese politician,None,张承先,None,None,Politician
Q8290825,Wang Enmao,politician (1912-2001),None,王恩茂,None,None,Politician
Q8291372,Yang Yongliang,Chinese politician,None,杨永良,None,None,Politician
Q8291500,Song Fatang,None,None,宋法棠,None,None,Politician
Q8292622,倪岳峰,Chinese politician,None,倪岳峰,None,None,Politician
Q8292823,徐松南,Chinese politician,None,徐松南,None,None,Politician
Q8298286,李英杰,Chinese politician,None,李英杰,None,None,Politician
Q8298318,雷建国,Chinese politician,None,雷建国,None,None,Politician
Q8298330,Huang Lanxiang,Chinese politician,黄兰香,黄兰香,None,None,Politician
Q8340510,严克伦,Chinese politician,None,严克伦,None,None,Politician
Q6553717,Ling Yun,Chinese politician,None,凌云 (国家安全部部长),None,None,Politician
Q6539215,Li Yanlu,Chinese general,None,李延禄,None,None,Politician
Q3436013,Jiang Weixin,Chinese politician,None,姜伟新,None,姜偉新,Politician
Q3575451,Zhu Weiqun,Chinese politician,None,朱维群,None,None,Politician
Q697380,Li Jishen,Chinese politician,None,李濟深,None,李济深,Politician
Q699327,Wang Ming,Chinese politician,None,王明,None,陈绍禹,Politician
Q701507,Liu Bocheng,Chinese politician,None,刘伯承,None,劉伯承,Politician
Q702752,Wang Xudong,Chinese politician,None,王旭东,None,王旭東,Politician
Q711412,Du Qinglin,Chinese politician,None,杜青林,None,None,Politician
Q712806,Li Zuopeng,Chinese general,None,李作鹏,None,李作鵬,Politician
Q1006940,Cai Wu,Chinese politician,None,蔡武,None,None,Politician
Q495182,Song Shi-Lun,Chinese general,None,宋时轮,None,宋時輪,Politician
Q4799521,Arthur Li,Hong Kong politician,None,李國章,香港政治人物,None,Politician
Q5017477,Cai Cheng,Chinese politician,None,蔡诚,中国政治人物,蔡誠,Politician
Q8933085,Chen Haosu,son of Chen Yi,None,陈昊苏,陈毅之子,None,Politician
Q9080971,Yang Luyu,Chinese politician,None,杨鲁豫,None,None,Politician
Q9090221,庄长兴,Chinese politician,None,庄长兴,None,None,Politician
Q9105559,何著胜,Chinese politician,None,何著胜,None,None,Politician
Q9441082,Chan Choi-hi,Hong Kong politician,None,陳財喜,None,None,Politician
Q9314564,Wang Huaiyuan,Chinese politician,None,王怀远,None,None,Politician
Q9318093,田玉林,Chinese politician,None,田玉林,None,None,Politician
Q9337376,Cai Fangbai,None,None,蔡方柏,None,None,Politician
Q9041178,孙建国 (1955年),Chinese politician,None,孙建国 (1955年),None,None,Politician
Q9182800,Fong Chi Keong,Member of Legislative Assembly of Macau,None,馮志強 (澳門),None,None,Politician
Q5090709,Chen Changzhi,Chairman of the Standing Committee of the National People's Congress,None,陈昌智,None,陳昌智,Politician
Q6176119,Jeffrey Lam,Hong Kong politician,None,林健鋒,None,None,Politician
Q11066699,Zhang Guoying,Chinese politician,None,张国英,None,None,Politician
Q11067742,张闾蘅,Chinese politician,None,张闾蘅,None,None,Politician
Q24839830,陈维席,Chinese politician,None,陈维席,None,None,Politician
Q24840429,Zhang Jinghua,Chinese politician,None,张敬华,None,None,Politician
Q28409285,石奇珠,Chinese politician,None,石奇珠,None,None,Politician
Q28416083,赵德明,Chinese politician,None,赵德明,None,None,Politician
Q28355173,徐学龙,Chinese politician,None,徐学龙,None,None,Politician
Q8246892,Tian Xiangli,Chinese politician,None,田向利,None,None,Politician
Q8249017,Li Xiaolin,daughter of Li Xiannian,None,李小林,李先念之女,None,Politician
Q8459459,Chen Chuangtian,Chinese materials scientist,Chuang-Tian Chen,陈创天,None,None,Politician
Q8295662,Zhang Shou,Chinese politician,None,张寿,共和国,None,Politician
Q8297870,Jin Daoming,Chinese politician,None,金道铭,None,None,Politician
Q8289773,王广宪,Chinese politician,None,王广宪,None,None,Politician
Q8313420,盛茂林,Chinese politician,None,盛茂林,None,None,Politician
Q7682690,Tang Hsiang Chien,Hong Kong businessman,Tang Xiangqian,唐翔千,香港企业家,None,Politician
Q7175408,Peter Lee Ka-kit,Hong Kong businessman,None,李家傑,None,李家傑 (商人),Politician
Q6389965,Kenneth Chan,Hong Kong politician,Kenneth Chan Ka-lok,陳家洛,香港立法會議員,None,Politician
Q6854077,Ni Zhiliang,None,None,倪志亮,None,None,Politician
Q8958344,范锐平,Chinese politician,None,范锐平,None,None,Politician
Q8964846,龚建华,Chinese politician,None,龚建华,None,None,Politician
Q9079623,Yu Hongqiu,Chinese politician,None,喻红秋,None,None,Politician
Q9080478,易鹏飞,Chinese politician,None,易鹏飞,None,None,Politician
Q9080505,晏永和,Chinese politician,None,晏永和,None,None,Politician
Q9298120,梁铁城,Chinese politician,None,梁铁城,None,None,Politician
Q9318342,申立国,Chinese politician,None,申立国,None,None,Politician
Q9213948,杨慧,Chinese politician,None,杨慧,None,None,Politician
Q9339081,薛荣哲,Chinese politician,None,薛荣哲,None,薜荣哲,Politician
Q9303716,沈强,Chinese politician,None,沈强,None,None,Politician
Q9064591,王保存,Chinese politician,None,王保存,None,None,Politician
Q8993310,Liao Shaohua,Chinese officeholder,None,廖少华,None,None,Politician
Q9183838,Long Yongtu,Chinese economist and politician,None,龙永图,None,None,Politician
Q9188401,张晓霈,Chinese politician,None,张晓霈,None,None,Politician
Q9091577,Zhang Shuofu,Chinese politician,None,张硕辅,None,None,Politician
Q9091743,张耀华,Chinese politician,None,张耀华,None,None,Politician
Q9142953,Dai Tianrong,Chinese politician,Dai Tian Rong,戴天荣,None,None,Politician
Q9110543,刘喜杰,Chinese politician,None,刘喜杰,None,None,Politician
Q9201657,覃卫东,Chinese politician,None,覃卫东,None,None,Politician
Q9371106,陶武先,Chinese politician,None,陶武先,None,None,Politician
Q9351840,邓月楼,Chinese politician,None,邓月楼,None,None,Politician
Q10933258,夜礼斌,Chinese politician,None,夜礼斌,None,None,Politician
Q10916486,叶顺兴,None,None,叶顺兴,None,None,Politician
Q10918440,吕薇,None,None,吕薇,None,None,Politician
Q10919535,吴文英 (部长),None,None,吴文英 (部长),None,None,Politician
Q11114013,Liang Zhimin,Chinese politician,None,梁志敏,中國政治人物,None,Politician
Q16336436,傅铁钢,Chinese politician,None,傅铁钢,None,None,Politician
Q15954588,莫永清,Chinese politician,None,莫永清,None,None,Politician
Q17062623,雷春国,Chinese politician,None,雷春国,None,None,Politician
Q51102866,唐海龙,Chinese politician,None,唐海龙,None,None,Politician
Q51102907,杭迎伟,Chinese politician,None,杭迎伟,None,None,Politician
Q51104113,李国琴,Chinese politician,None,李国琴,None,None,Politician
Q51105641,刘广河,Chinese politician,None,刘广河,None,None,Politician
Q51105772,殷昭举,Chinese politician,None,殷昭举,None,None,Politician
Q51106167,徐贤淑,Chinese politician,None,徐贤淑,None,None,Politician
Q51106704,文爱华,Chinese politician,None,文爱华,None,None,Politician
Q51106720,朱立锋,Chinese politician,None,朱立锋,None,None,Politician
Q50968892,王威东,Chinese politician,None,王威东,None,None,Politician
Q50970642,鲍守坤,Chinese politician,None,鲍守坤,None,None,Politician
Q50963055,王传霖,Chinese politician,None,王传霖,None,None,Politician
Q19825511,Liu Chi-chun,first lady,None,劉期純,None,None,Politician
Q19825876,黃耿城,Chinese politician,None,黃耿城,None,None,Politician
Q28410120,陈声亮,Chinese politician,None,陈声亮,None,None,Politician
Q28416076,商黎光,Chinese politician,None,商黎光,None,None,Politician
Q28858143,Li Wenke,Chinese politician,None,李文科,None,None,Politician
Q18650976,Wang Min,born 1956 - Chinese politician,None,王敏 (济南市委书记),None,None,Politician
Q17164036,Shuguang,Chinese politician,None,林曙光,None,None,Politician
Q16905243,朝鲁孟,Chinese politician,None,朝鲁孟,None,None,Politician
Q16906162,王福宏,Chinese politician,None,王福宏,None,None,Politician
Q16906782,荣天厚,Chinese politician,None,荣天厚,None,None,Politician
Q16906793,莫文秀,Chinese politician,None,莫文秀,None,None,Politician
Q16907851,陈卫民,Chinese politician,None,陈卫民,None,None,Politician
Q18340676,Li Xi,Chinese politician,Xi Li,李喜,None,None,Politician
Q18913781,Liu Zhigang,Chinese politician,None,刘之纲,None,None,Politician
Q24838076,Wu Daifeng,None,None,吴岱峰,None,None,Politician
Q10886573,Yu Xinqing,Chinese politician,None,余心清,None,None,Politician
Q10919313,Wu Ketai,Chinese politician,Wú Kètài,吴克泰,None,詹世平,Politician
Q18707697,Wu Guoding,Chinese politician,None,武国定,None,None,Politician
Q15933421,Chen Guodong,Chinese politician,None,陈国栋 (书记),None,None,Politician
Q22099538,高福平,Chinese politician,None,高福平,None,None,Politician
Q21040292,Zhang Lijun,None,None,张立君,None,None,Politician
