ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q1510312,2011 Portuguese protests,protest,None,None,None,None,Protest
Q1340139,The Cost of Knowledge,protest,None,知識的代價,None,None,Protest
Q1376154,Putin must go,protest,putinavotstavku.org,None,None,None,Protest
Q5254589,Opposition to the U.S. involvement in the Vietnam War,None,Opposition to United States involvement in the Vietnam War,反對美國捲入越南戰爭,None,反越戰示威,Protest
Q4783248,Arab Spring concurrent incidents,None,None,None,None,None,Protest
Q5139282,Cochabamba social unrest of 2007,None,None,None,None,None,Protest
Q4608576,2007 HINDRAF rally,None,None,None,None,None,Protest
Q4629096,2013 Baku protests,None,None,None,None,None,Protest
Q8340620,National Dialogue Conference,None,None,None,None,None,Protest
Q7231275,"Port of Tacoma protests, March 2007",None,None,None,None,None,Protest
Q15871713,2014 pro-Russian unrest in Ukraine,Unrest in Ukraine in the aftermath of the Euromaidan movement.,None,2014年乌克兰亲俄罗斯骚乱,None,None,Protest
Q17001363,2014 Loei Gold Mine Mob Attack,None,None,None,None,None,Protest
Q24016449,Vevčani Emergency,"incident in western SR Macedonia, in 1987",None,None,None,None,Protest
Q28868572,2017 DU protests,None,None,None,None,None,Protest
Q995898,2007 Bersih rally,protest,None,2007年净选盟大集会,None,2007年马来西亚人民诉求选举制度改革大集会,Protest
Q1187694,2011 Georgian protests,protest,None,None,None,None,Protest
Q33761,Arab Spring,protests and revolutions in the Arab world,Swryh,阿拉伯之春,None,2010－2011年阿拉伯世界的反政府示威,Protest
Q55748906,Demonstrations for the freedom of Salim Yezza in Oum El Bouaghi,Demonstrations  in Algeria,None,None,None,None,Protest
Q1902629,Dissenters' March,"series of Russian opposition protests that took place on 2006 and 2007 in Moscow, Saint Petersburg, Nizhny Novgorod, and Chelyabinsk",None,持不同政見者 (組織),None,None,Protest
Q25931035,Bernie or Bust,hashtag and movement by some Bernie Sanders supporters expressing refusal to vote for Hillary Clinton in the general election,#NeverClinton,None,None,None,Protest
