ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q1014570,2008 Shenzhen anti-police riot,None,None,2008年深圳警民冲突,None,None,Riot
Q40890663,2012 Zhongshan riot,None,None,None,None,None,Riot
Q48816089,Zhengzhou Airport riot,None,None,None,None,None,Riot
Q4620707,2011 Chaozhou riot,None,None,潮州市古巷事件,None,None,Riot
Q3108846,2008 Weng'an riot,None,None,瓮安骚乱,None,翁安6.28事件,Riot
Q4617786,2010 Ma'anshan riot,None,None,None,None,None,Riot
Q4611901,2008 Sichuan riots,None,None,2008年阿坝骚乱,None,None,Riot
Q844505,July 2009 Ürümqi riots,None,None,乌鲁木齐七·五骚乱,None,乌鲁木齐7·5暴力事件,Riot
Q4623096,2011 Zengcheng riot,None,None,增城市新塘事件,None,广州市新塘事件,Riot
Q10845385,2010 Suzhou workers riot,None,None,2010年蘇州聯建事件,None,None,Riot
Q4623095,2011 Zhongshan riot,None,None,None,None,None,Riot
Q124757,riot,form of civil disorder,riots,暴動,None,动乱,Riot
