from_id,to_id,relationship
U650,Q212056,related
U650,Q7303881,related
U650,Q6186,related
U650,Q208971,related
U650,Q7722019,related
U650,Q16952829,related
U650,Q43373553,related
U650,Q5193173,related
U650,Q5193177,related
U650,Q4728763,related
U650,Q7776365,related
U650,Q4949976,related
U650,Q6098152,related
U650,Q12605913,related
U650,Q7303010,related
U650,Q6151340,related
U650,Q2381957,related
U650,Q5036928,related
U650,Q7445412,related
U650,Q7091339,related
U650,Q5245613,related
U650,Q549628,related
U650,Q5193178,related
U650,Q5150743,related
U650,Q6544690,related
U650,Q4266193,related
U650,Q23758233,related
U650,Q7296389,related
U650,Q11038979,related
U544,Q1510312,related
U544,Q1340139,related
U544,Q1376154,related
U544,Q5254589,related
U544,Q4783248,related
U544,Q5139282,related
U544,Q4608576,related
U544,Q4629096,related
U544,Q8340620,related
U544,Q7231275,related
U544,Q15871713,related
U544,Q21034928,related
U544,Q17001363,related
U544,Q24016449,related
U544,Q28868572,related
U544,Q995898,related
U544,Q1187694,related
U544,Q33761,related
U544,Q55748906,related
U544,Q1902629,related
U544,Q25931035,related
U544,Q26794840,related
U544,Q3177658,related
U544,Q4606459,related
U544,Q4626748,related
U544,Q6756704,related
U544,Q7623053,related
U544,Q7496212,related
U544,Q35574989,related
U544,Q15410935,related
U544,Q16190794,related
U544,Q29489,related
U544,Q854206,related
U544,Q593558,related
U544,Q20526846,related
U544,Q23978207,related
U544,Q18613036,related
U544,Q19249476,related
U544,Q6523658,related
U544,Q4606458,related
U544,Q55111165,related
U544,Q28128144,related
U544,Q28677425,related
U544,Q5282600,related
U544,Q4438307,related
U544,Q4611783,related
U544,Q14575581,related
U544,Q15720956,related
U544,Q19838194,related
U544,Q16823497,related
U544,Q17511534,related
U544,Q18380506,related
U544,Q18346005,related
U544,Q16147313,related
U544,Q257758,related
U544,Q42685104,related
U544,Q55286450,related
U544,Q57732622,related
U544,Q55594145,related
U544,Q47546083,related
U544,Q6756896,related
U544,Q7678322,related
U544,Q7749239,related
U544,Q6804278,related
U544,Q35576285,related
U544,Q2504556,related
U544,Q3200076,related
U544,Q4591650,related
U544,Q4617347,related
U544,Q4622781,related
U544,Q4624494,related
U544,Q5044084,related
U544,Q43495841,related
U544,Q6905011,related
U544,Q4608821,related
U544,Q4617788,related
U544,Q4621620,related
U544,Q4622769,related
U544,Q1679887,related
