ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q5562593,Gilshochill,None,None,None,None,None,entity
Q21127478,Parkinsonian-pyramidal syndrome,A Parkinson's disease that has material basis in mutation in the FBXO7 gene on chromosome 22q12.3.,autosomal recessive early-onset Parkinson disease type 15,None,None,None,entity
Q55782601,early-onset parkinsonism-intellectual disability syndrome,None,Waisman syndrome,None,None,None,entity
Q42863519,hereditary late onset Parkinson disease,human disease,LOPD,None,None,None,entity
Q57961839,"Dielectric Response of Ta[sub 2]O[sub 5], Nb[sub 2]O[sub 5], and NbTaO[sub 5] from First-Principles Investigations",None,None,None,None,None,entity
Q15223910,High Ruchill,None,None,None,None,None,entity
Q1144513,G20 developing nations,None,None,G20開發中國家,None,G20開發中國家集團,entity
Q32136845,autosomal dominant Parkinson disease 4,late onset Parkinson disease that has material basis in heterozygous triplication of the alpha-synuclein gene (SNCA) on chromosome 4q22,"PARKINSON DISEASE 4, AUTOSOMAL DOMINANT; PARK4",None,None,None,entity
Q639571,Glock 20,semi-automatic pistol; 10mm Auto variant,None,格洛克20,None,None,entity
Q785402,G20 Qingdao–Yinchuan Expressway,road,None,青银高速公路,None,青島－銀川高速公路,entity
Q7376592,Ruchill,None,None,None,None,None,entity
Q32136833,young-onset Parkinson disease,human disease,YOPD,None,None,None,entity
Q11085,Parkinson's disease,long-term degenerative neurological disorder that mainly affects movement,Parkinson disease,帕金森氏症,人類疾病,None,entity
Q32136810,juvenile onset Parkinson disease 19A,Parkinson's disease that has material basis in homozygous mutation in the DNAJC6 gene on chromosome 1p31,juvenile onset Parkinson disease type 19A,None,None,None,entity
Q32136856,autosomal recessive early-onset Parksinson disease 23,early-onset Parkinson disease that has material basis in homozygous or compound heterozygous mutation in the VPS13C gene on chromosome 15q22,"Parkinson Disease 23, Autosomal Recessive Early-Onset",None,None,None,entity
Q27146327,G20,chemical compound,guanosine20,None,None,None,entity
Q47004724,Mayi-Yapi,Language: Australia - Pama-Nyungan - Northern Pama-Nyungan,None,None,None,None,entity
Q3137166,2012 G-20 Los Cabos summit,seventh meeting of the G-20 heads of government,2012 G-20 Los Cabos summit,2012年二十国集团洛斯卡沃斯峰会,None,None,entity
Q6996973,nervous system disease,human disease,nervous tissue disease,None,None,None,entity
Q19771,G-20 major economies,group of finance ministers and central bank governors,Group of Twenty Finance Ministers and Central Bank Governors,二十國集團,國際經濟合作論壇,G-20,entity
Q55782498,X-linked parkinsonism-spasticity syndrome,human disease,XPDS,None,None,None,entity
Q6781200,Maryhill Park,None,None,None,None,None,entity
Q18040055,C3orf18,protein-coding gene in the species Homo sapiens,chromosome 3 open reading frame 18,None,位於3號人類染色體的基因,None,entity
Q152075,2011 G-20 Cannes summit,None,None,None,None,None,entity
Q7055767,North Kelvinside,None,None,None,None,None,entity
Q349549,G20,Wikimedia disambiguation page,None,G20,维基百科消歧义页,None,entity
Q55787240,hemiparkinsonism-hemiatrophy syndrome,None,HP-HA syndrome,None,None,None,entity
Q6781187,Maryhill,"town in Glasgow, United Kindom",None,None,None,None,entity
Q56014138,atypical juvenile parkinsonism,None,None,None,None,None,entity
Q6862892,Minami-Ikoma Station,"railway station in Ikoma, Nara prefecture, Japan",None,南生駒車站,None,None,entity
U2,G20,None,None,None,None,None,entity
Q24831967,beijing time,website,None,北京时间,网站,None,entity
Q1208798,Big Cartoon DataBase,website,bcdb.com,大卡通資料庫,网站,None,entity
Q35127,website,set of related web pages served from a single web domain,web site,網站,组相关的网页从单个web服务领域,网站,entity
P854,reference URL,should be used for internet URLs as references. Use P4656 for interwiki links,Source URL,来源网址,应用于列出来源信息中的网址,URL,entity
U4,网站,None,None,None,None,None,entity
Q11032,Newspaper,"scheduled publication containing news of events, articles, features, editorials, and advertising",None,報紙,定期刊物,报纸,entity
Q870221,Tribune de Genève,newspaper,La Tribune de Geneve,日內瓦論壇報,报纸,None,entity
Q6161946,Category:Newspapers,Wikimedia category,None,Category:报纸,维基媒体项目分类,None,entity
U5,报纸,None,None,None,None,None,entity
U6,吉国网站,None,None,None,None,None,entity
U7,中央党媒,None,None,None,None,None,entity
U8,DiggBT,None,None,None,None,None,entity
U9,优扎尔网,None,None,None,None,None,entity
U10,维吾尔网站,None,None,None,None,None,entity
U11,法广网,None,None,None,None,None,entity
Q157811,virtue,positive trait or quality deemed to be morally good,None,美德,None,None,entity
U13,美德,None,None,None,None,None,entity
U14,荣誉,None,None,None,None,None,entity
Q1208425,praise,"positive evaluations made by a person of another's products, performances, or attributes",None,赞颂,None,赞美,entity
U15,赞美,None,None,None,None,None,entity
U16,荣光,None,None,None,None,None,entity
Q45665056,Liu Yu,None,Yi,None,None,None,entity
Q11613167,至大,None,None,至大,None,None,entity
U17,至大,None,None,None,None,None,entity
U18,至上,None,None,None,None,None,entity
Q193762,Hieroglyph,pictographic sign,hieroglyphs,古埃及象形文字,None,None,entity
Q287865,AC3,Wikimedia disambiguation page,AC3 (disambiguation),None,维基百科消歧义页,None,entity
Q338763,Contactor,None,None,接触器,None,電磁開關,entity
Q217844,Okay,word from the English language,🆗,OK,None,好,entity
Q54879531,好,CJK (hanzi/kanji/hanja) character,None,好,None,None,entity
U19,好,None,None,None,None,None,entity
Q1208425,praise,"positive evaluations made by a person of another's products, performances, or attributes",None,赞颂,None,赞美,entity
U20,赞颂,None,None,None,None,None,entity
Q669458,Majesty,"an honorific of Monarchs, usually Kings or Emperors",Her Majesty,陛下,古代中国对皇帝的敬称，现代引申到其他君主的敬称,天子,entity
U21,万岁,None,None,None,None,None,entity
Q1990204,The Most Beautiful,1944 film by Akira Kurosawa,Most Beautiful,最美,None,None,entity
U22,最美,None,None,None,None,None,entity
U23,优秀,None,None,None,None,None,entity
U25,猪警,None,None,None,None,None,entity
U26,徇私枉法,None,None,None,None,None,entity
U27,刑事大队的人乱打人,None,None,None,None,None,entity
U28,新疆的坏警察,None,None,None,None,None,entity
U29,特警群殴小商贩,None,None,None,None,None,entity
U30,特警欺负一个妇女,None,None,None,None,None,entity
U31,辱骂保安人员,None,None,None,None,None,entity
U32,纳粹公安,None,None,None,None,None,entity
U33,警务站人员暴力执法,None,None,None,None,None,entity
U34,警官贪官,None,None,None,None,None,entity
U35,警匪勾结,None,None,None,None,None,entity
U36,警察无故冲撞殴打,None,None,None,None,None,entity
