from_id,to_id,relationship
Q5562593,Q149621,P31
Q5562593,Q145,P17
Q21127478,Q32136833,P279
Q21127478,Q12136,P31
Q55782601,Q8041560,P279
Q42863519,Q55345937,P279
Q42863519,Q12136,P31
Q57961839,Q56994402,P2860
Q57961839,Q3186957,P1433
Q57961839,Q13442814,P31
Q15223910,Q149621,P31
Q15223910,Q145,P17
Q1144513,Q484652,P31
Q32136845,Q83042,P1995
Q32136845,Q42863519,P279
Q32136845,Q12136,P31
Q639571,Q40,P495
Q639571,Q172172,P279
Q639571,Q169130,P739
Q639571,Q702135,P176
Q639571,Q22704163,P31
Q785402,Q10873415,P16
Q785402,Q57448,P131
Q785402,Q211243,P609
Q785402,Q148,P17
Q785402,Q46622,P31
Q7376592,Q149621,P31
Q7376592,Q145,P17
Q32136833,Q55345937,P279
Q32136833,Q12136,P31
Q11085,Q827017,P780
Q11085,Q16963368,P279
Q11085,Q40821,P924
Q11085,Q83042,P1995
Q11085,Q8715619,P910
Q11085,Q18033776,P2293
Q11085,Q336489,P138
Q11085,Q42303753,P31
Q11085,Q2991856,P2176
Q11085,Q849737,P923
Q11085,Q2041543,P1343
Q32136810,Q83042,P1995
Q32136810,Q55345937,P279
Q32136810,Q12136,P31
Q32136856,Q83042,P1995
Q32136856,Q32136833,P279
Q32136856,Q12136,P31
Q27146327,Q11173,P31
Q47004724,Q17012241,P279
Q47004724,Q34770,P31
Q3137166,Q152075,P155
Q3137166,Q4629377,P156
Q3137166,Q26805735,P31
Q6996973,Q12136,P279
Q6996973,Q3339235,P460
Q19771,Q458,P527
Q19771,Q128529,P112
Q19771,Q2048185,P1552
Q19771,Q7255519,P910
Q19771,Q245065,P31
Q55782498,Q55787260,P279
Q6781200,Q149621,P31
Q6781200,Q145,P17
Q18040055,Q21130049,P688
Q18040055,Q20747295,P279
Q18040055,Q22809711,P2548
Q18040055,Q668633,P1057
Q18040055,Q29781399,P684
Q18040055,Q15978631,P703
Q18040055,Q7187,P31
Q152075,Q483749,P155
Q152075,Q3137166,P156
Q152075,Q26805735,P31
Q7055767,Q22,P131
Q7055767,Q149621,P31
Q7055767,Q145,P17
Q349549,Q4167410,P31
Q55787240,Q55787260,P279
Q6781187,Q4093,P131
Q6781187,Q145,P17
Q6781187,Q3957,P31
Q6862892,Q5638742,P197
Q6862892,Q328610,P131
Q6862892,Q909085,P421
Q6862892,Q1531085,P137
Q6862892,Q17,P17
Q6862892,Q900218,P81
Q6862892,Q55488,P31
U2,Q5562593,related
U2,Q21127478,related
U2,Q55782601,related
U2,Q42863519,related
U2,Q57961839,related
U2,Q15223910,related
U2,Q1144513,related
U2,Q32136845,related
U2,Q639571,related
U2,Q785402,related
U2,Q7376592,related
U2,Q32136833,related
U2,Q11085,related
U2,Q32136810,related
U2,Q32136856,related
U2,Q27146327,related
U2,Q47004724,related
U2,Q3137166,related
U2,Q6996973,related
U2,Q19771,related
U2,Q55782498,related
U2,Q6781200,related
U2,Q18040055,related
U2,Q152075,related
U2,Q7055767,related
U2,Q349549,related
U2,Q20040446,related
U2,Q55787240,related
U2,Q6781187,related
U2,Q56014138,related
U2,Q6862892,related
Q24831967,Q148,P17
Q24831967,Q35127,P31
Q1208798,Q4933,P1687
Q1208798,Q6713497,P1424
Q1208798,Q35127,P31
Q35127,Q5875625,P1424
Q35127,Q43229,P279
Q35127,Q466,P361
Q35127,Q6447030,P910
Q35127,Q31,P1963
Q35127,Q854,P1687
P854,Q21502404,P2302
P854,Q18608359,P31
P854,Q42253,P1629
P854,Q2699,P1647
P854,Q1294046,P1855
P854,Q4656,P1659
U4,Q24831967,related
U4,Q1208798,related
U4,Q35127,related
U4,P854,related
Q11032,Q5460604,P5008
Q11032,Q6161946,P910
Q11032,Q19538713,P1343
Q11032,Q9460683,P1424
Q11032,Q28877,P279
Q11032,Q3912,P1963
Q870221,Q474575,P127
Q870221,Q39,P17
Q870221,Q669935,P3912
Q870221,Q150,P407
Q870221,Q71,P159
Q870221,Q1110794,P31
Q6161946,Q11032,P301
Q6161946,Q4167836,P31
U5,Q11032,related
U5,Q870221,related
U5,Q6161946,related
Q157811,Q1411242,P461
Q157811,Q15290,P279
Q157811,Q7232922,P910
Q157811,Q46999631,P460
U13,Q157811,related
Q1208425,Q1692426,P461
Q1208425,Q451967,P279
U15,Q1208425,related
Q45665056,Q9903,P27
Q45665056,Q5,P31
Q11613167,Q256408,P31
U17,Q45665056,related
U17,Q11613167,related
Q193762,Q7767560,P910
Q193762,Q2545446,P279
Q193762,Q8192,P361
Q193762,Q2657718,P1343
Q287865,Q4167410,P31
Q338763,Q2657718,P1343
Q217844,Q24007759,P910
Q217844,Q8171,P31
Q54879531,Q53785305,P5277
Q54879531,Q95592,P5280
Q54879531,Q53764782,P31
U19,Q193762,related
U19,Q287865,related
U19,Q338763,related
U19,Q217844,related
U19,Q54879531,related
Q1208425,Q1692426,P461
Q1208425,Q451967,P279
U20,Q1208425,related
Q669458,Q5767753,P31
U21,Q669458,related
Q1990204,Q5287,P364
Q1990204,Q45171911,P1552
Q1990204,Q362,P921
Q1990204,Q130232,P136
Q1990204,Q875920,P750
Q1990204,Q17,P495
Q1990204,Q875920,P272
Q1990204,Q8006,P57
Q1990204,Q7446712,P86
Q1990204,Q838368,P462
Q1990204,Q3514156,P161
Q1990204,Q8006,P58
Q1990204,Q23817729,P2758
Q1990204,Q11424,P31
U22,Q1990204,related
Q41397,Q750215,P279
Q41397,Q21287454,P2959
Q41397,Q3199915,P1889
Q41397,Q5568721,P910
Q41397,Q505586,P61
Q41397,Q154278,P460
U46,Q41397,related
Q154278,Q7013679,P910
Q154278,Q41397,P460
Q154278,Q3199915,P279
U47,Q154278,related
Q185802,Q8443032,P910
Q185802,Q2270606,P31
U58,Q185802,related
Q185802,Q8443032,P910
Q185802,Q2270606,P31
U60,Q185802,related
Q15921059,Q15416,P31
U81,Q15921059,related
Q1075369,Q15742145,P31
Q1075369,Q8853273,P910
U187,Q1075369,related
Q708772,Q14934048,P31
Q708772,Q865,P17
Q708772,Q8827004,P910
U189,Q708772,related
Q970573,Q312093,P2596
Q970573,Q4843701,P1001
Q970573,Q23691,P31
Q4730359,Q4838100,P86
Q4730359,Q36236,P364
Q4730359,Q668,P495
Q4730359,Q6167450,P161
Q4730359,Q11424,P31
Q4730361,Q4167410,P31
Q191811,Q2041543,P1343
Q191811,Q13955,P407
Q191811,Q3026787,P31
U205,Q970573,related
U205,Q4730359,related
U205,Q4730361,related
U205,Q191811,related
Q931510,Q8555709,P910
Q931510,Q58158117,P279
Q931510,Q1969448,P31
U206,Q931510,related
P451,Q23036836,P2875
P451,Q25796498,P2302
P451,Q3342,P1647
P451,Q44597997,P31
P451,Q841509,P1629
P451,Q3816,P1855
P451,Q26,P1659
P451,Q451,P1696
Q625369,Q6581072,P1552
Q625369,Q10017612,P910
Q625369,Q5784340,P279
Q625369,Q21095715,P1889
Q625369,Q12737077,P31
Q2699785,Q145,P495
Q2699785,Q6590562,P1811
Q2699785,Q7183851,P57
Q2699785,Q7387197,P170
Q2699785,Q191472,P449
Q2699785,Q1860,P364
Q2699785,Q2468792,P161
Q2699785,Q1366112,P136
Q2699785,Q5398426,P31
U328,P451,related
U328,Q625369,related
U328,Q2699785,related
Q3119415,Q299122,P86
Q3119415,Q131231,P175
Q3119415,Q30,P495
Q3119415,Q7366,P31
Q3119415,Q483352,P136
Q3119415,Q527183,P361
Q3119415,Q299122,P676
Q3119415,Q466649,P264
Q21073605,Q4167410,P31
Q44311,Q7028997,P910
U372,Q3119415,related
U372,Q21073605,related
U372,Q44311,related
Q152081,Q40357,P279
Q152081,Q8551774,P910
Q152081,Q41176,P31
Q152081,Q2657718,P1343
U395,Q152081,related
Q848638,Q55312395,P131
Q848638,Q55817342,P910
Q848638,Q7930330,P1792
Q848638,Q815330,P1376
Q848638,Q515,P31
Q848638,Q232,P17
Q848638,Q8076138,P1464
Q848638,Q602358,P1343
Q1315785,Q9187106,P910
Q1315785,Q82794,P31
Q6549315,Q4167410,P31
U416,Q848638,related
U416,Q1315785,related
U416,Q6549315,related
Q2439061,Q1539288,P279
U491,Q2439061,related
U492,Q11352435,related
U530,Q7933139,related
Q750215,Q17306449,P1424
Q750215,Q15883433,P3095
Q750215,Q7087206,P910
Q750215,Q3199915,P460
Q750215,Q1184244,P279
Q925737,Q32489,P520
Q925737,Q418096,P276
Q925737,Q750215,P31
Q925737,Q55327639,P910
Q192055,Q362,P2348
Q192055,Q170314,P361
Q192055,Q6392164,P910
Q192055,Q16666,P276
Q192055,Q750215,P31
U535,Q750215,related
U535,Q925737,related
U535,Q192055,related
Q99717,Q6617122,P1424
Q99717,Q30947620,P527
Q99717,Q18301,P170
Q99717,Q9533816,P910
