ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
U1,国际论坛组织,None,None,None,None,None,ontology
U3,媒体,None,None,None,None,None,ontology
U12,褒义实体,None,None,None,None,None,ontology
U24,有害实体,None,None,None,None,None,ontology
U527,有害行为,None,None,None,None,None,ontology
U545,骚乱事件,None,None,None,None,None,ontology
U559,暴恐事件,None,None,None,None,None,ontology
U575,违法乱纪的事,None,None,None,None,None,ontology
U544,有害事件,None,None,None,None,None,ontology
U581,吉国网站,None,None,None,None,None,ontology
U583,亲戚,None,None,None,None,None,ontology
U612,新疆,None,"['中国斯坦', '星月旗', '新疆斯坦', '泛突厥', '疆独东突', '东突厥共和国', '东突暴恐集团', 'dong突斯坦', '突厥斯坦', '东伊运', '维吾尔斯坦']",None,None,None,ontology
U615,中国地区,None,None,None,None,None,ontology
U629,外国地区,None,None,None,None,None,ontology
U611,地区,None,None,None,None,None,ontology
U633,政府组织,None,None,None,None,None,ontology
U651,领导人,None,None,None,None,None,ontology
U657,有害政治_0,None,None,None,None,None,ontology
U661,政治流派,None,None,None,None,None,ontology
U665,宗教术语,None,None,None,None,None,ontology
U686,邪教,None,None,None,None,None,ontology
U689,其他群体,None,None,None,None,None,ontology
U692,民族群体,None,None,None,None,None,ontology
U698,宗教相关,None,None,None,None,None,ontology
U704,宗教群体,None,None,None,None,None,ontology
U664,宗教民族,None,None,None,None,None,ontology
U719,涉暴涉恐,None,None,None,None,None,ontology
U733,政府官员,None,None,None,None,None,ontology
U755,有害政治_1,None,None,None,None,None,ontology
U650,敏感实体,None,None,None,None,None,ontology
U762,国家资金,None,None,None,None,None,ontology
U765,有害政策_1,None,None,None,None,None,ontology
U769,国家政策,None,None,None,None,None,ontology
U781,管制物品相关,None,None,None,None,None,ontology
U800,有害政策_0,None,None,None,None,None,ontology
U806,贬义实体,None,None,None,None,None,ontology
U843,公民,None,None,None,None,None,ontology
U870,基本权利,None,None,None,None,None,ontology
U872,中华民俗,None,None,None,None,None,ontology
