from_id,to_id,relationship
Q212056,Q48,P30
Q212056,Q23430,P36
Q212056,Q2657718,P1343
Q212056,Q842112,P122
Q212056,Q3024240,P31
Q212056,Q271864,P85
Q212056,Q193718,P237
Q212056,Q6916198,P910
Q212056,Q748,P140
Q212056,Q2475921,P155
Q212056,Q165552,P163
Q212056,Q6985,P421
Q212056,Q9246,P37
Q212056,Q183435,P38
Q212056,Q148,P47
Q7303881,Q2609948,P123
Q7303881,Q710973,P50
Q7303881,Q571,P31
Q7303881,Q6186,P136
Q7303881,Q16,P495
Q7303881,Q1860,P407
Q6186,Q19180675,P1343
Q6186,Q8419000,P1151
Q6186,Q182121,P461
Q6186,Q212056,include
Q6186,Q7303881,include
Q6186,Q5460604,P5008
Q6186,Q7216548,P910
Q6186,Q1641112,P31
Q7761035,Q571,P31
Q7761035,Q213051,P136
Q7761035,Q686984,P921
Q7761035,Q4758883,P50
Q7761035,Q16,P495
Q7761035,Q6800322,P123
Q15197384,Q1753814,P710
Q15197384,Q6784016,P31
Q15197384,Q918544,P361
Q15197384,Q7102151,P276
Q13410316,Q206900,P131
Q13410316,Q43,P17
Q13410316,Q273120,P31
Q13410316,Q15292046,P910
Q15088065,Q686984,P301
Q15088065,Q4167836,P31
Q124757,Q83267,P279
Q124757,Q602358,P1343
Q124757,Q8663474,P910
Q46999835,Q794,P17
Q46999835,Q794,P276
Q46999835,Q47009593,P710
Q46999835,Q686984,P31
Q46999835,Q47010405,P910
Q17560945,Q17501769,P1478
Q17560945,Q686984,P31
Q17560945,Q954855,P276
Q24553356,Q2736,P641
Q24553356,Q686984,P31
Q24553356,Q189571,P1269
Q24553356,Q142,P17
Q4872850,Q949318,P710
Q4872850,Q6784016,P31
Q4872850,Q1407488,P361
Q4872850,Q39671,P276
Q25820506,Q686984,P31
Q25820506,Q1180,P131
Q25820506,Q1413732,P361
Q25820506,Q668,P17
Q15224558,Q16918333,P361
Q15224558,Q212,P17
Q15224558,Q212,P276
Q15224558,Q175331,P31
Q15224558,Q15262078,P910
Q15243731,Q869,P17
Q15243731,Q273120,P31
Q15243731,Q869,P276
Q274365,Q686984,P31
Q274365,Q836,P17
Q22673238,Q686984,P31
Q22673238,Q148,P17
Q22673238,Q1207691,P276
Q3028678,Q5431887,P828
Q3028678,Q580631,P276
Q3028678,Q174193,P17
Q3028678,Q686984,P31
Q15871713,Q15860072,P361
Q15871713,Q2641546,P276
Q15871713,Q936105,P710
Q15871713,Q15920546,P1542
Q15871713,Q687031,P31
Q15871713,Q16335049,P910
Q886691,Q686984,P31
Q886691,Q64,P276
Q886691,Q183,P17
Q29489,Q686984,P31
Q29489,Q843,P276
Q15733401,Q15224558,P361
Q15733401,Q212,P17
Q15733401,Q10931,P31
Q15733401,Q15833607,P156
Q15733401,Q863759,P276
Q24259918,Q1342,P276
Q24259918,Q1400,P131
Q24259918,Q30,P17
Q24259918,Q327541,P31
Q2296469,Q1464033,P276
Q2296469,Q55,P17
Q2296469,Q686984,P31
Q51139646,Q801,P710
Q51139646,Q151622,P361
Q51139646,Q15631336,P31
Q51139646,Q39760,P276
Q51139646,Q514433,P828
Q686984,Q7897387,P279
Q686984,Q7761035,include
Q686984,Q15197384,include
Q686984,Q13410316,include
Q686984,Q2744398,include
Q686984,Q15088065,include
Q686984,Q124757,include
Q686984,Q46999835,include
Q686984,Q4284250,include
Q686984,Q17560945,include
Q686984,Q24553356,include
Q686984,Q4872850,include
Q686984,Q25820506,include
Q686984,Q15224558,include
Q686984,Q15243731,include
Q686984,Q274365,include
Q686984,Q22673238,include
Q686984,Q3028678,include
Q686984,Q15871713,include
Q686984,Q886691,include
Q686984,Q29489,include
Q686984,Q15733401,include
Q686984,Q24259918,include
Q686984,Q55394813,include
Q686984,Q2296469,include
Q686984,Q25490552,include
Q686984,Q51139646,include
Q686984,Q15088065,P910
Q82360,Q719,P19
Q82360,Q7160624,P26
Q82360,Q47164,P20
Q82360,Q12078,P509
Q82360,Q13627772,P734
Q82360,Q6581097,P21
Q82360,Q5,P31
Q82360,Q1436734,P136
Q82360,Q1358639,P119
Q82360,Q10800557,P106
Q82360,Q30,P27
Q82360,Q55325639,P910
Q82360,Q3739104,P1196
Q82360,Q4927937,P735
Q310229,Q83267,P279
Q310229,Q2135465,P31
Q310229,Q8758033,P910
Q310229,Q674827,P92
Q37657301,Q15663095,P971
Q37657301,Q4167836,P31
Q8427497,Q4167836,P31
Q8427497,Q1028,P971
Q8427589,Q4167836,P31
Q8427589,Q334,P971
Q8427589,Q5185378,P301
Q6911318,Q4167836,P31
Q6911318,Q796,P971
Q6396026,Q5185395,P301
Q6396026,Q754,P971
Q6396026,Q4167836,P31
Q13562077,Q17486466,P161
Q13562077,Q28980118,P3834
Q13562077,Q465754,P86
Q13562077,Q16,P17
Q13562077,Q28732987,P3650
Q13562077,Q2517993,P57
Q13562077,Q15069859,P162
Q13562077,Q27915575,P3402
Q13562077,Q22006653,P462
Q13562077,Q1097348,P750
Q13562077,Q60,P840
Q13562077,Q27253947,P3306
Q13562077,Q60,P915
Q13562077,Q21571489,P2363
Q13562077,Q20644796,P1981
Q13562077,Q21062414,P2061
Q13562077,Q1860,P364
Q13562077,Q11424,P31
Q13562077,Q971721,P1040
Q13562077,Q83267,P136
Q13562077,Q311744,P58
Q13562077,Q7731060,P1889
Q13562077,Q953040,P272
Q13562077,Q45172088,P1552
Q13562077,Q30,P495
Q3686324,Q83267,P279
Q3686324,Q38,P1001
Q3686324,Q49371,P31
Q7654058,Q83267,P279
Q1975478,Q83267,P279
Q5172452,Q8419300,P910
Q5172452,Q83267,P279
Q8989733,Q3002617,P301
Q8989733,Q4167836,P31
Q8989733,Q142,P971
Q8427371,Q4167836,P31
Q8427371,Q21,P971
Q8427620,Q5185389,P301
Q8427620,Q1509,P971
Q8427620,Q4167836,P31
Q29142,Q83267,P279
Q27149893,Q16726271,P971
Q27149893,Q4167836,P31
Q29639124,Q83267,P31
Q13258647,Q83267,P971
Q13258647,Q4167836,P31
Q15056789,Q2927074,P31
Q15056789,Q83267,P279
Q27031407,Q83267,P31
Q27031407,Q103062,P276
Q1040751,Q83267,P279
Q1040751,Q206735,P1889
Q1040751,Q28796263,P1269
Q26251210,Q19249499,P971
Q26251210,Q4167836,P31
Q27149887,Q16726270,P971
Q27149887,Q4167836,P31
Q29871236,Q23994850,P971
Q29871236,Q4167836,P31
Q8427509,Q4167836,P31
Q8427509,Q1408,P971
Q8427509,Q5185347,P301
Q8427542,Q4167836,P31
Q8427542,Q1397,P971
Q8427542,Q5185359,P301
Q8427662,Q83267,P971
Q8427662,Q4167836,P31
Q6213295,Q4167836,P31
Q6213295,Q884,P971
Q6213295,Q16241302,P301
Q7025500,Q4167836,P31
Q7025500,Q3960,P971
Q7025500,Q4377519,P301
Q1636948,Q571,P31
Q1636948,Q208505,P136
Q1636948,Q83267,P921
Q1636948,Q1860,P407
Q1636948,Q856014,P50
Q1636948,Q1145208,P155
Q1636948,Q3497683,P156
Q1636948,Q84,P840
Q1636948,Q145,P495
Q1636948,Q2108217,P123
Q3020505,Q571,P31
Q3020505,Q342778,P161
Q3020505,Q83267,P136
Q3020505,Q6265379,P50
Q3020505,Q1860,P407
Q3020505,Q945579,P57
Q3020505,Q30,P495
Q11707040,Q4167836,P31
Q11707040,Q1439,P971
Q11707040,Q5185390,P301
Q16988817,Q544394,P279
Q16988817,Q83267,P31
Q16988817,Q30,P17
Q6478924,Q83267,P301
Q6478924,Q4167836,P31
Q8427277,Q4167836,P31
Q8427277,Q48,P971
Q8427293,Q4167836,P31
Q8427293,Q750,P971
Q8427293,Q19869430,P301
Q8427299,Q1974,P971
Q8427299,Q4167836,P31
Q8427660,Q5185411,P301
Q8427660,Q954,P971
Q8427660,Q4167836,P31
Q7999577,Q265,P971
Q7999577,Q4167836,P31
Q5088947,Q83267,P279
Q43442,Q1315426,P460
Q43442,Q18601765,P910
Q43442,Q83267,P279
Q43442,Q674827,P92
Q46952,Q4430243,P279
Q46952,Q83267,P1542
Q46952,Q8934114,P910
Q8427375,Q4167836,P31
Q8427375,Q812,P971
Q8427375,Q5185297,P301
Q8427440,Q5185321,P301
Q8427440,Q1246,P971
Q8427440,Q4167836,P31
Q8427643,Q5185405,P301
Q8427643,Q61,P971
Q8427643,Q4167836,P31
Q8427651,Q5185407,P301
Q8427651,Q1371,P971
Q8427651,Q4167836,P31
Q17106712,Q6581097,P21
Q17106712,Q5,P31
Q17106712,Q37500280,P734
Q17106712,Q20,P27
Q17106712,Q7461628,P735
Q17106712,Q9043,P1412
Q17106712,Q83267,P106
Q11707065,Q5185264,P301
Q11707065,Q816,P971
Q11707065,Q4167836,P31
Q28055289,Q83267,P31
Q30617199,Q2159002,P971
Q30617199,Q4167836,P31
Q29901404,Q83267,P971
Q29901404,Q4167836,P31
Q30816530,Q30,P971
Q30816530,Q4167836,P31
Q2571535,Q10176894,P910
Q2571535,Q83267,P279
Q2571535,Q19180675,P1343
Q3002617,Q8989733,P910
Q3002617,Q18214940,P279
Q5572964,Q994144,P276
Q5572964,Q83267,P31
Q5168150,Q83267,P136
Q5168150,Q1860,P407
Q5168150,Q7175966,P50
Q5168150,Q571,P31
Q5168150,Q30,P495
Q5168150,Q1708210,P123
Q29901424,Q83267,P971
Q29901424,Q4167836,P31
Q30745081,Q48,P971
Q30745081,Q4167836,P31
Q20929650,Q1202,P971
Q20929650,Q4167836,P31
Q5260820,Q83267,P279
Q4796599,Q327541,P279
Q4796599,Q83267,P31
Q4796599,Q145,P17
Q525302,Q83267,P279
Q525302,Q674827,P92
Q382265,Q159904,P1478
Q382265,Q83267,P279
Q7733703,Q571,P31
Q7733703,Q6585139,P136
Q7733703,Q1860,P407
Q7733703,Q232260,P50
Q7733703,Q145,P495
Q7733703,Q520387,P123
Q7918620,Q9687,P828
Q7918620,Q83267,P279
Q7918620,Q9687,P1889
Q7999539,Q4167836,P31
Q7999539,Q924,P971
Q8427534,Q5185355,P301
Q8427534,Q1207,P971
Q8427534,Q4167836,P31
Q8427544,Q4167836,P31
Q8427544,Q1649,P971
Q8427544,Q5185360,P301
Q19961524,Q5398426,P31
Q19961524,Q873810,P161
Q19961524,Q182015,P136
Q19961524,Q11259368,P58
Q19961524,Q864910,P272
Q19961524,Q864910,P449
Q19961524,Q1834,P144
Q19961524,Q17,P1408
Q19961524,Q17,P495
Q19961524,Q5287,P364
Q6434279,Q3306146,P301
Q6434279,Q4167836,P31
Q6434279,Q668,P971
Q19670376,Q83267,P31
Q28399653,Q6087526,P971
Q28399653,Q4167836,P31
Q24207740,Q5185394,P301
Q24207740,Q907112,P971
Q24207740,Q4167836,P31
Q554774,Q481609,P279
Q554774,Q1138524,P1343
Q554774,Q2630,P1687
Q554774,Q83267,P31
Q459409,Q83267,P279
Q459409,Q8506114,P910
Q8427267,Q781,P971
Q8427267,Q4167836,P31
Q8427310,Q4167836,P31
Q8427310,Q99,P971
Q8427310,Q5185280,P301
Q8427324,Q5187,P971
Q8427324,Q4167836,P31
Q8427484,Q5185330,P301
Q8427484,Q1025,P971
Q8427484,Q4167836,P31
Q8427762,Q5185422,P301
Q8427762,Q4167836,P31
Q8427762,Q83267,P971
Q3567756,Q10648343,P31
Q3567756,Q30,P17
Q3567756,Q23837673,P527
Q3567756,Q7976,P1412
Q3567756,Q83267,P136
Q7166279,Q4167836,P31
Q7166279,Q230,P971
Q5185608,Q544394,P279
Q5185608,Q83267,P31
Q1371150,Q192620,P710
Q1371150,Q83267,P279
Q1371150,Q23036198,P461
Q1371150,Q674827,P92
Q1162210,Q720370,P170
Q1162210,Q3066641,P1441
Q1162210,Q6581097,P21
Q1162210,Q15632617,P31
Q1162210,Q83267,P101
Q1162210,Q10156402,P910
Q17142966,Q1064904,P279
Q30876558,Q48,P971
Q30876558,Q4167836,P31
Q10787922,Q83267,P31
Q20741956,Q6581097,P21
Q20741956,Q5,P31
Q20741956,Q21496409,P734
Q20741956,Q414,P27
Q20741956,Q20950103,P40
Q20741956,Q931425,P735
Q20741956,Q188094,P106
Q37658286,Q30,P971
Q37658286,Q4167836,P31
Q1165508,Q35064,P170
Q1165508,Q571,P31
Q1165508,Q208505,P136
Q1165508,Q83267,P921
Q1165508,Q1860,P407
Q1165508,Q35064,P50
Q1165508,Q2605087,P155
Q1165508,Q588531,P156
Q1165508,Q145,P495
Q1165508,Q5147368,P123
Q857984,Q83267,P279
Q857984,Q7023056,P910
Q857984,Q10501402,P460
Q8427330,Q83267,P971
Q8427330,Q4167836,P31
Q8427464,Q5185326,P301
Q8427464,Q1588,P971
Q8427464,Q4167836,P31
Q8427543,Q4167836,P31
Q8427543,Q423,P971
Q8427543,Q17002011,P301
Q27149884,Q15985236,P971
Q27149884,Q4167836,P31
Q21129531,Q25034247,P910
